class,message,,,
jam,That's significant but dont worry.,,,
jam,That's cause your old. I live to be high.,,,
jam,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo jam jeetey hai..........",,,
jam,On the way to office da..,,,
jam,In which place do you want da.,,,
jam,This pain couldn't have come at a worse time.,,,
jam,Ok...,,,
jam,Should I be stalking u?,,,
jam,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,,,
jam,Ok lor.,,,
jam,Apps class varaya elaya.,,,
jam,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,,,
spam,"URGENT! Your mobile number *************** WON a �2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",,,
jam,That day you asked about anand number. Why:-),,,
jam,Am surfing online store. For offers do you want to buy any thing.,,,
jam,Long beach lor. Expected... U having dinner now?,,,
jam,At home by the way,,,
jam,We are both fine. Thanks,,,
jam,What happen to her tell the truth,,,
jam,Do you like Italian food?,,,
jam,Which is weird because I know I had it at one point,,,
jam,"\Aww you must be nearly dead!Well Jez isComing over toDo some workAnd that whillTake forever!\""""",,,
jam,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,,,
jam,"Alright, see you in a bit",,,
jam,Cheers for the message Zogtorius. I��ve been staring at my phone for an age deciding whether to text or not.,,,
jam,I will take care of financial problem.i will help:),,,
jam,Tell dear what happen to you. Why you talking to me like an alian,,,
spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,,,
jam,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",,,
jam,Okie...,,,
jam,"Hi this is yijue, can i meet u at 11 tmr?",,,
jam,Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different,,,
jam,But i dint slept in afternoon.,,,
jam,That seems unnecessarily affectionate,,,
jam,Yar else i'll thk of all sorts of funny things.,,,
jam,You will be in the place of that man,,,
spam,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 �3 ",,,
jam,Thats cool. How was your day?,,,
spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.,,,
jam,R we going with the  &lt;#&gt;  bus?,,,
jam,"Hello, my love ! How went your day ? Are you alright ? I think of you, my sweet and send a jolt to your heart to remind you ... I LOVE YOU! Can you hear it ? I screamed it across the sea for all the world to hear. Ahmad al Hallaq is loved ! and owned ! *possessive passionate kiss*",,,
jam,No..he joined today itself.,,,
jam,Okay same with me. Well thanks for the clarification,,,
jam,I'll talk to the others and probably just come early tomorrow then,,,
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic",,,
jam,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks.",,,
jam,Hi. I'm sorry i missed your call. Can you pls call back.,,,
jam,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,,
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play �250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",,,
jam,Ok then no need to tell me anything i am going to sleep good night,,,
jam,Ok try to do week end course in coimbatore.,,,
spam,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,,,
jam,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-),,,
jam,If you r @ home then come down within 5 min,,,
jam,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8""",,,
jam,"That day �_ say �_ cut ur hair at paragon, is it called hair sense? Do �_ noe how much is a hair cut? ",,,
jam,"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho",,,
jam,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,,,
spam,XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a �2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only,,,
jam,Dunno lei he neva say...,,,
jam,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx,,,
jam,I'm on my way home. Went to change batt 4 my watch then go shop a bit lor.,,,
spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,,,
jam,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",,,
jam,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.",,,
jam,"If i let you do this, i want you in the house by 8am.",,,
jam,"Best line said in Love: . \I will wait till the day I can forget u Or The day u realize that u cannot forget me.\""... Gn""",,,
jam,I will reach before ten morning,,,
jam,Your pussy is perfect!,,,
jam,"Sorry, I'll call later",,,
spam,"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p",,,
jam,No message..no responce..what happend?,,,
jam,Also where's the piece,,,
jam,"wiskey Brandy Rum Gin Beer Vodka Scotch Sjampain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",,,
jam,Boo. How's things? I'm back at home and a little bored already :-(,,,
jam,First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries,,,
jam,PICK UR FONE UP NOW U DUMB?,,,
jam,"Thanks da thangam, i feel very very happy dear. I also miss you da.",,,
jam,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. ",,,
jam,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,,,
jam,"Babe, I'm back ... Come back to me ...",,,
jam,Well you told others you'd marry them...,,,
jam,Neshanth..tel me who r u?,,,
jam,YO YO YO BYATCH WHASSUP?,,,
jam,Oh... Kay... On sat right?,,,
jam,Hi! This is Roger from CL. How are you?,,,
spam,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),,,
jam,Oh oh... Wasted... Den muz chiong on sat n sun liao...,,,
jam,Jesus christ bitch I'm trying to give you drugs answer your fucking phone,,,
jam,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,,,
jam,I'm meeting Darren...,,,
jam,One of best dialogue in cute reltnship..!! \Wen i Die," Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8""",,
jam,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",,,
jam,Dear where you will be when i reach there,,,
jam,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :),,,
jam,Ok... Thanx... Gd nite 2 �_ too...,,,
jam,"Come to me right now, Ahmad",,,
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
jam,Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.,,,
jam,O was not into fps then.,,,
jam,Huh means computational science... Y they like dat one push here n there...,,,
jam,"Could you not read me, my Love ? I answered you",,,
jam,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... ,,,
jam,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala.",,,
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE,,,
jam,Oic... Then better quickly go bathe n settle down...,,,
jam,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.,,,
jam,A bloo bloo bloo I'll miss the first bowl,,,
jam,Lmao but its so fun...,,,
jam,Oh k k:)but he is not a big hitter.anyway good,,,
jam,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!,,,
spam,Valentines Day Special! Win over �1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201,,,
jam,Do you think i can move  &lt;#&gt;  in a week,,,
jam,She.s find. I sent you an offline message to know how anjola's now.,,,
spam,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,,,
jam,How was txting and driving,,,
jam,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.,,,
jam,Really dun bluff me leh... U sleep early too. Nite...,,,
jam,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that \ &lt;#&gt;  lac crore\"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.\""""",,,
jam,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.,,,
jam,Oh ya ya. I remember da. .,,,
jam,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,,,
spam,"For ur chance to win �250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",,,
jam,I not busy juz dun wan 2 go so early.. Hee.. ,,,
jam,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,,,
jam,"Great. I'm in church now, will holla when i get out",,,
jam,Back in brum! Thanks for putting us up and keeping us all and happy. See you soon ,,,
jam,I donno if they are scorable,,,
jam,&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here,,,
jam,"Yes but i dont care! I need you bad, princess!",,,
jam,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight",,,
jam,"Sorry, I'll call later",,,
jam,Tmr then �_ brin lar... Aiya later i come n c lar... Mayb �_ neva set properly �_ got da help sheet wif �_...,,,
jam,Do u knw dis no. &lt;#&gt; ?,,,
jam,Then she dun believe wat?,,,
jam,K..give back my thanks.,,,
jam,I know complain num only..bettr directly go to bsnl offc nd apply for it..,,,
jam,Okay. I've seen it. So i should pick it on friday?,,,
jam,How much she payed. Suganya.,,,
jam,Left dessert. U wan me 2 go suntec look 4 u?,,,
jam,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?",,,
jam,Onum ela pa. Normal than.,,,
jam,K.k..how is your sister kids?,,,
jam,"Cool, I'll text you when I'm on the way",,,
jam,Nope. Meanwhile she talk say make i greet you.,,,
jam,i cant talk to you now.i will call when i can.dont keep calling.,,,
jam,Anything lar...,,,
jam,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",,,
jam,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",,,
jam,They will pick up and drop in car.so no problem..,,,
jam,S.i think he is waste for rr..,,,
jam,He is world famamus....,,,
jam,Is there coming friday is leave for pongal?do you get any news from your work place.,,,
jam,Lol well don't do it without me. We could have a big sale together.,,,
jam,* Am on my way,,,
jam,Eat at old airport road... But now 630 oredi... Got a lot of pple...,,,
jam,"sry can't talk on phone, with parents",,,
spam,"Final Chance! Claim ur �150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. �3.00 Subs 16",,,
jam,Ok lor wat time �_ finish?,,,
jam,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!",,,
jam,Mm i am on the way to railway,,,
jam,i dnt wnt to tlk wid u,,,
jam,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.",,,
jam,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?,,,
spam,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",,,
spam,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or �10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",,,
jam,K.:)do it at evening da:)urgent:),,,
jam,Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!,,,
jam,Mm have some kanji dont eat anything heavy ok,,,
jam,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.,,,
jam,Lol that's different. I don't go trying to find every real life photo you ever took.,,,
jam,I dont thnk its a wrong calling between us,,,
jam,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,,,
jam,Aiyah e rain like quite big leh. If drizzling i can at least run home.,,,
jam,I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?,,,
jam,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.,,,
jam,"Greetings me, ! Consider yourself excused.",,,
jam,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.,,,
jam,they released another Italian one today and it has a cosign option,,,
jam,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget",,,
spam,WINNER! As a valued network customer you hvae been selected to receive a �900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,,,
jam,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com,,,
jam,Dai what this da.. Can i send my resume to this id.,,,
jam,"I know where the  &lt;#&gt;  is, I'll be there around 5",,,
jam,Yup i've finished c �_ there...,,,
jam,Remember to ask alex about his pizza,,,
jam,No da..today also i forgot..,,,
jam,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",,,
jam,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up,,,
jam,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",,,
jam,Congrats kano..whr s the treat maga?,,,
jam,Who u talking about?,,,
jam,Yup...,,,
jam,Ok...,,,
jam,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...",,,
jam,Yunny i'm walking in citylink now �_ faster come down... Me very hungry...,,,
jam,Er yep sure. Props?,,,
jam,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc",,,
spam,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,,,
jam,Ok ill send you with in  &lt;DECIMAL&gt;  ok.,,,
jam,Bognor it is! Should be splendid at this time of year.,,,
jam,Yes.i'm in office da:),,,
jam,"Sorry, I'll call later",,,
jam,Joy's father is John. Then John is the NAME of Joy's father. Mandan,,,
jam,Ok. I only ask abt e movie. U wan ktv oso?,,,
jam,Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends,,,
jam,"Sorry, I'll call later",,,
jam,Dunno lei... I might b eatin wif my frens... If �_ wan to eat then i wait 4 �_ lar,,,
jam,"Sorry, I'll call later",,,
spam,FREE entry into our �250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,,,
jam,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",,,
jam,Do u noe how 2 send files between 2 computers?,,,
jam,"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again",,,
jam,jay says he'll put in  &lt;#&gt;,,,
jam,Can you just come in for a sec? There's somebody here I want you to see,,,
jam,So the sun is anti sleep medicine.,,,
jam,What's happening with you. Have you gotten a job and have you begun registration for permanent residency,,,
jam,Yup ok...,,,
jam,Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.,,,
jam,Ok enjoy . R u there in home.,,,
jam,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks.",,,
jam,You do what all you like,,,
jam,That's y we haf to combine n c how lor...,,,
jam,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.,,,
jam,Hmmm:)how many players selected?,,,
jam,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation.",,,
jam,I dont. Can you send it to me. Plus how's mode.,,,
jam,Aiyo please �_ got time meh.,,,
jam,Package all your programs well,,,
jam,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN.",,,
jam,So are you guys asking that i get that slippers again or its gone with last year,,,
jam,Company is very good.environment is terrific and food is really nice:),,,
spam,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",,,
jam,Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!,,,
jam,Yup but not studying surfing lor. I'm in e lazy mode today.,,,
jam,Please sen :)my kind advice :-)please come here and try:-),,,
jam,I'm done. C �_ there.,,,
jam,"Oh fine, I'll be by tonight",,,
jam,�� give me some time to walk there.,,,
jam,I'll reach in ard 20 mins ok...,,,
spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",,,
jam,Fuck babe ... What happened to you ? How come you never came back?,,,
spam,This message is brought to you by GMW Ltd. and is not connected to the,,,
jam,"Some friends want me to drive em someplace, probably take a while",,,
jam,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.,,,
jam,Are you still getting the goods.,,,
jam,And maybe some pressies,,,
jam,"Yeah I am, so I'll leave maybe 7ish?",,,
jam,K..k..i'm also fine:)when will you complete the course?,,,
jam,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",,,
jam,I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.,,,
jam,You in your room? I need a few,,,
jam,I dont want to hear anything,,,
jam,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..,,,
jam,Ultimately tor motive tui achieve korli.,,,
jam,From 5 to 2 only my work timing.,,,
jam,��_ and don���t worry we���ll have finished by march ��_ ish!,,,
jam,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel",,,
spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",,,
spam,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.,,,
jam,Now thats going to ruin your thesis!,,,
jam,In sch but neva mind u eat 1st lor..,,,
jam,Hey whats up? U sleeping all morning?,,,
jam,Erm. I thought the contract ran out the4th of october.,,,
jam,I dunno until when... Lets go learn pilates...,,,
spam,U are subscribed to the best Mobile Content Service in the UK for �3 per ten days until you send STOP to 83435. Helpline 08706091795.,,,
jam,Yup i'm elaborating on the safety aspects and some other issues..,,,
spam,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs �1.50 each",,,
jam,"Goodmorning, today i am late for 1hr.",,,
jam,Hi happy birthday. Hi hi hi hi hi hi hi,,,
jam,I will be outside office take all from there,,,
jam,If you don't respond imma assume you're still asleep and imma start calling n shit,,,
jam,"Aight, see you in a bit",,,
jam,My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:),,,
spam,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p,,,
jam,Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.,,,
jam,Still work going on:)it is very small house.,,,
jam,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",,,
jam,Tmr timin still da same wat cos i got lesson until 6...,,,
jam,"That���s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",,,
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. �1.50 SP:Tyrone,,,
jam,No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans,,,
jam,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...",,,
jam,Okie... Thanx...,,,
jam,"Gosh that , what a pain. Spose I better come then.",,,
jam,"As usual..iam fine, happy &amp; doing well..:)",,,
jam,Okie,,,
jam,So when you gonna get rimac access ,,,
jam,"\Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?\""""",,,
jam,You call times job today ok umma and ask them to speed up,,,
jam,"\HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!\""""",,,
jam,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE,,,
jam,:-) yeah! Lol. Luckily i didn't have a starring role like you!,,,
jam,Hello madam how are you ?,,,
jam,"Awesome, text me when you're restocked",,,
jam,"As usual..iam fine, happy &amp; doing well..:)",,,
spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a �250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstop�1.50/week,,,
jam,Yes. It's all innocent fun. O:-),,,
jam,Thanks for sending this mental ability question..,,,
jam,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know.",,,
jam,2marrow only. Wed at  &lt;#&gt;  to 2 aha.,,,
jam,I went to ur hon lab but no one is there.,,,
jam,I cant pick the phone right now. Pls send a message,,,
jam,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast jamper!!!,,,
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,,,
jam,How come?,,,
jam,Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?,,,
jam,Ok lor...,,,
jam,I'm coming home 4 dinner.,,,
jam,S da..al r above  &lt;#&gt;,,,
spam,"FREE RING TONE just text \POLYS\"" to 87131. Then every week get a new tone. 0870737910216yrs only �1.50/wk.""",,,
jam,Unni thank you dear for the recharge..Rakhesh,,,
jam,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,,,
jam,Haha... They cant what... At the most tmr forfeit... haha so how?,,,
jam,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!",,,
jam,No way I'm going back there!,,,
spam,"URGENT! Your mobile No 077xxx WON a �2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm",,,
jam,I WILL CAL YOU SIR. In meeting,,,
jam,"That's what I love to hear :V see you sundayish, then",,,
jam,"Sorry da thangam, very very sorry i am held up with prasad.",,,
jam,Tiwary to rcb.battle between bang and kochi.,,,
jam,Thank god they are in bed!,,,
jam,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,,,
jam,Am in gobi arts college,,,
jam,Why she wants to talk to me,,,
jam,Pandy joined 4w technologies today.he got job..,,,
spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a �500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",,,
jam,"They can try! They can get lost, in fact. Tee hee",,,
jam,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,
jam,My friends use to call the same.,,,
jam,"Sorry, I'll call later",,,
jam,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",,,
jam,"It,,s a taxt massage....tie-pos argh ok! Lool!",,,
jam,"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.",,,
jam,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management",,,
jam,Do you like shaking your booty on the dance floor?,,,
jam,"Text me when you get off, don't call, my phones having problems",,,
jam,No need for the drug anymore.,,,
jam,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,,,
jam,Its sarcasm.. .nt scarcasim,,,
jam,Great! I have to run now so ttyl!,,,
jam,Feel like trying kadeem again? :V,,,
jam,Dai  &lt;#&gt;  naal eruku.,,,
jam,Not yet chikku..wat abt u?,,,
jam,Ok...,,,
jam,Want to finally have lunch today?,,,
jam,Do you know when dad will be back?,,,
spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",,,
spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,,,
jam,He remains a bro amongst bros,,,
jam,R u meeting da ge at nite tmr?,,,
jam,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember.",,,
jam,Why de. You looking good only:-)..,,,
spam,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp �1.50/msg,,,
spam,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,,,
